Scattering Cross-Section: Angle, Cross-section
Random rotation
2.58309 26924.4
2.60054 23357.9
2.61799 21014.4
2.63545 19679.5
2.6529 19117.6
2.67035 19125.9
2.68781 19575.9
2.70526 20434.6
2.72271 21758.2
2.74017 23661.1
2.75762 26265.6
2.77507 29642.5
2.79253 33758.5
2.80998 38440.9
2.82743 43371.7
2.84489 48113.8
2.86234 52168.9
2.87979 55056.2
2.89725 56399.5
2.9147 56004.8
2.93215 53913.7
2.94961 50419.3
2.96706 46039.5
2.98451 41449.6
3.00197 37384.6
3.01942 34526.6
3.03687 33397.3
3.05433 34273.3
3.07178 37140.4
3.08923 41692.7
3.10669 47376.8
3.12414 53471
3.14159 59185.9
Random rotation
0 4.37906e+08
0.0174533 4.27195e+08
0.0349066 3.99928e+08
0.0523599 3.58927e+08
0.0698132 3.08264e+08
0.0872665 2.52675e+08
0.10472 1.96915e+08
0.122173 1.45161e+08
0.139626 1.00545e+08
0.15708 6.49035e+07
0.174533 3.87416e+07
0.191986 2.14042e+07
0.20944 1.13961e+07
0.226893 6.7733e+06
0.244346 5.5302e+06
0.261799 5.91416e+06
0.279253 6.62668e+06
0.296706 6.89726e+06
0.314159 6.44358e+06
0.331613 5.35128e+06
0.349066 3.91587e+06
0.366519 2.48832e+06
0.383972 1.35583e+06
0.401426 674456
0.418879 455357
0.436332 593320
0.453786 919603
0.471239 1.25943e+06
0.488692 1.4782e+06
0.506145 1.50705e+06
0.523599 1.34587e+06
0.541052 1.04812e+06
0.558505 695242
0.575959 369636
0.593412 133349
0.610865 16548.9
0.628319 16517.9
0.645772 105018
0.663225 240260
0.680678 379436
0.698132 488600
0.715585 548105
0.733038 553382
0.750492 512061
0.767945 439092
0.785398 351593
0.802851 264752
0.820305 189441
0.837758 131581
0.855211 92793.8
0.872665 71679.2
0.890118 65111.2
0.907571 69167.6
0.925025 79609.6
0.942478 92067.1
0.959931 102200
0.977384 106076
0.994838 100839
1.01229 85564.6
1.02974 62001.8
1.0472 34867.7
1.06465 11414.9
1.0821 196.004
1.09956 9197.74
1.11701 43755.3
1.13446 104787
1.15192 187870
1.16937 283505
1.18682 378610
1.20428 458968
1.22173 512076
1.23918 529722
1.25664 509655
1.27409 455951
1.29154 378007
1.309 288427
1.32645 200353
1.3439 124890
1.36136 69213.1
