Scattering Amplitude: Angle, Real Part, Imaginary Part
Random rotation
0.541052 569.49 499.104
0.558505 473.676 461.999
0.575959 335.846 419.281
0.593412 169.466 380.914
0.610865 -9.98816 351.567
0.628319 -187.3 331.356
0.645772 -349.161 317.152
0.663225 -485.156 304.104
0.680678 -588.155 287.092
0.698132 -654.269 261.911
0.715585 -682.518 226.074
0.733038 -674.367 179.217
0.750492 -633.234 123.111
0.767945 -564.047 61.3768
0.785398 -472.874 -1.05208
0.802851 -366.611 -58.5991
0.820305 -252.721 -105.783
0.837758 -138.964 -137.938
0.855211 -33.096 -151.852
0.872665 57.4967 -146.256
0.890118 126.23 -122.133
0.907571 167.811 -82.7857
0.925025 178.753 -33.6602
0.942478 157.848 18.0904
0.959931 106.543 64.2823
0.977384 29.1294 96.5737
0.994838 -67.315 107.463
1.01229 -173.291 91.3162
1.02974 -277.572 45.2952
1.0472 -368.215 -29.9305
1.06465 -433.806 -129.831
1.0821 -464.843 -246.118
1.09956 -455.068 -367.367
1.11701 -402.575 -480.148
1.13446 -310.477 -570.595
1.15192 -186.976 -626.224
1.16937 -44.7217 -637.787
1.18682 100.539 -600.844
1.20428 231.915 -516.79
1.22173 333.671 -393.068
1.23918 393.548 -242.455
1.25664 404.681 -81.428
1.27409 366.753 72.1919
1.29154 286.088 201.939
1.309 174.583 295.273
1.32645 47.6041 345.49
1.3439 -78.7893 352.561
1.36136 -190.738 322.638
1.37881 -278.966 266.298
1.39626 -340.08 195.862
1.41372 -376.437 122.403
1.43117 -394.549 53.1961
1.44862 -402.411 -9.70329
1.46608 -406.421 -69.2996
1.48353 -408.779 -131.868
1.50098 -406.177 -203.951
1.51844 -390.317 -288.957
1.53589 -350.282 -384.391
1.55334 -276.264 -480.675
1.5708 -163.648 -562.158
1.58825 -16.2125 -610.32
1.6057 152.654 -608.511
1.62316 321.413 -547
1.64061 464.44 -426.871
1.65806 557.853 -261.458
1.67552 585.622 -74.5718
1.69297 544.224 104.309
1.71042 444.352 246.853
1.72788 308.899 332.904
1.74533 167.485 355.728
1.76278 48.8504 323.812
1.78024 -26.8221 258.474
1.79769 -53.3829 187.703
1.81514 -40.2465 137.879
1.8326 -9.30404 125.742
1.85005 12.0659 153.079
1.8675 -0.082941 205.889
1.88496 -58.0984 258.502
1.90241 -157.906 281.559
1.91986 -279.186 251.545
1.93732 -390.692 158.909
1.95477 -459.239 12.1937
1.97222 -459.67 -163.247
1.98968 -382.728 -331.694
2.00713 -238.366 -456.769
2.02458 -53.4333 -511.462
2.04204 135.547 -485.416
2.05949 292.28 -387.288
2.07694 390.197 -241.576
2.0944 418.694 -81.0575
2.11185 384.332 62.6555
2.1293 306.917 167.427
2.14675 211.997 225.241
2.16421 122.443 241.958
2.18166 51.9419 232.633
2.19911 2.43442 214.329
2.21657 -33.8886 199.118
2.23402 -69.0862 189.797
2.25147 -112.715 179.745
2.26893 -166.477 156.822
2.28638 -222.331 109.655
2.30383 -264.799 33.8316
2.32129 -276.597 -64.473
2.33874 -245.441 -168.906
2.35619 -169.446 -257.314
2.37365 -59.0567 -308.545
2.3911 65.2478 -309.195
2.40855 178.651 -257.914
2.42601 259.058 -165.796
2.44346 293.067 -52.8704
2.46091 278.905 57.9059
2.47837 225.621 146.978
2.49582 149.177 202.741
2.51327 67.1056 223.059
2.53073 -6.30411 213.735
2.54818 -62.8397 184.966
2.56563 -100.681 147.363
2.58309 -122.681 108.967
2.60054 -133.723 74.0004
2.61799 -138.342 43.3111
2.63545 -139.39 15.8066
2.6529 -137.903 -10.0146
2.67035 -133.767 -35.1036
2.68781 -126.548 -59.6786
2.70526 -115.973 -83.5758
2.72271 -101.884 -106.667
2.74017 -83.8723 -128.944
2.75762 -60.988 -150.153
2.77507 -31.8753 -169.194
2.79253 4.56747 -183.678
2.80998 48.2252 -190.04
2.82743 96.9398 -184.321
2.84489 146.272 -163.457
2.86234 190.102 -126.61
2.87979 221.989 -76.0073
2.89725 236.884 -16.893
2.9147 232.62 43.5061
2.93215 210.628 97.722
2.94961 175.593 139.951
2.96706 134.107 167.496
2.98451 92.7409 181.242
3.00197 56.1611 185.015
3.01942 25.9116 183.998
3.03687 0.270913 182.749
3.05433 -24.7645 183.467
3.07178 -53.6882 185.089
3.08923 -89.4709 183.542
3.10669 -131.99 173.077
3.12414 -177.427 148.292
3.14159 -218.869 106.218
Random rotation
0 4308.03 20478
0.0174533 10321.2 17907.2
0.0349066 14738 13517.4
0.0523599 17085.3 8186.58
0.0698132 17325.9 2841.79
0.0872665 15800.8 -1734.82
0.10472 13097.6 -5036.59
0.122173 9890.1 -6880.87
0.139626 6788.91 -7379.4
0.15708 4236.4 -6852.47
0.174533 2459.36 -5717.79
0.191986 1477.56 -4384.18
0.20944 1153.81 -3172.51
0.226893 1264.42 -2274.76
0.244346 1569.84 -1750.94
0.261799 1869.91 -1554.86
0.279253 2035.59 -1575.77
0.296706 2016.54 -1682.51
0.314159 1829.3 -1759.9
0.331613 1534.04 -1731.47
0.349066 1207.98 -1567.37
0.366519 922.225 -1279.78
0.383972 726.173 -910.219
0.401426 640.679 -513.796
0.418879 659.169 -144.41
0.436332 754.291 156.094
0.453786 887.305 363.72
0.471239 1017.6 473.213
0.488692 1110.42 495.157
0.506145 1141.84 450.829
0.523599 1100.75 366.368
0.541052 988.218 267.487
0.558505 815.126 175.534
0.575959 598.802 105.222
0.593412 359.522 63.9759
0.610865 117.41 52.5713
0.628319 -109.901 66.6314
0.645772 -308.727 98.5179
0.663225 -469.973 139.229
0.680678 -589.091 180.021
0.698132 -665.568 213.585
0.715585 -702.141 234.739
0.733038 -703.9 240.639
0.750492 -677.401 230.627
0.767945 -629.87 205.805
0.785398 -568.514 168.478
0.802851 -499.971 121.578
0.820305 -429.878 68.1591
0.837758 -362.573 11.0386
0.855211 -300.914 -47.3767
0.872665 -246.244 -105.085
0.890118 -198.508 -160.33
0.907571 -156.528 -211.345
0.925025 -118.446 -256.086
0.942478 -82.291 -292.054
0.959931 -46.624 -316.27
0.977384 -11.1571 -325.502
0.994838 22.7613 -316.735
1.01229 51.9289 -287.868
1.02974 71.4486 -238.531
1.0472 75.3319 -170.859
1.06465 57.5344 -90.0263
1.0821 13.3161 -4.32266
1.09956 -59.2864 75.3848
1.11701 -158.177 136.878
1.13446 -276.442 168.424
1.15192 -402.433 160.99
1.16937 -520.877 110.418
1.18682 -615.017 19.0824
1.20428 -669.521 -103.483
1.22173 -673.664 -241.357
1.23918 -624.072 -374.509
1.25664 -526.302 -482.349
1.27409 -394.643 -547.912
1.29154 -249.875 -561.756
1.309 -115.219 -524.549
1.32645 -11.2525 -447.467
1.3439 49.0273 -349.98
1.36136 63.6135 -255.277
1.37881 42.2242 -184.299
1.39626 3.81972 -149.932
1.41372 -28.7479 -153.099
1.43117 -35.6575 -182.152
1.44862 -6.62758 -216.136
1.46608 55.1213 -231.313
1.48353 133.032 -209.159
1.50098 201.901 -143.325
1.51844 235.994 -43.0521
1.53589 218.126 68.4991
1.55334 146.626 160.993
1.5708 37.4667 206.834
1.58825 -79.6726 191.011
1.6057 -170.57 117.276
1.62316 -207.937 8.07091
1.64061 -181.144 -102.283
1.65806 -100.438 -179.067
1.67552 6.32255 -199.276
